,species_guess
283,Citreoline Trogon
285,Northern Crawfish Frog
286,Green Toad
287,Marbled Frog
288,Western Diamondback Rattlesnake
289,Texas Toad
291,Common Raven
293,Wilson's Warbler
296,Kranich
297,Moor Frog
299,Golden-cheeked Woodpecker
300,RBGU
301,Platypedia laticapitata
302,Gryllus vocalis
303,Northern Elephant Seal
305,Thrush-like Wren
306,Rufous-browed Peppershrike
307,NOFL
308,WIWR
309,BRCR
310,Chloealtis gracilis
311,Hyla cinerea
312,citreoline trogon
313,European Green Toad
316,Eastern Narrow-mouthed Toad
317,loros del Nuevo Mundo y África
319,Northern Parula
324,Common Nighthawk
325,Common Gallinule
326,Sora
328,King Rail
329,American Bullfrog
330,Scissor-tailed Flycatcher
333,Sinaloa Wren
335,Bruant à joues marron
336,Painted Bunting
338,Bronze Frog
339,Northern Pygmy-Owl
340,Makomako Bellbird
342,Cope's Gray Treefrog
343,northern parula
344,Bird-voiced Treefrog
345,Western Flycatcher
347,Prothonotary Warbler
348,Yellow-billed Cuckoo
350,Red-bellied Woodpecker
351,White-eyed Vireo
352,Fish Crow
353,Clapper Rail
355,Carolina Wren
356,BRTH
359,Spotted Chorus Frog
360,HOWR
361,Gryllus saxatilis
362,Swainson's Warbler
363,cope's gray tree frog
364,Least Bittern
367,Pacific-slope Flycatcher
368,Spotted towhee
369,Mourning dove
370,Chestnut-backed chickadee
371,Blue-winged Warbler
373,Gray Tree Frog
374,Sinaloa toad
375,Eurasian Collared-Dove
378,Black-throated Green Warbler
379,Swainson's Thrush
381,Red-tailed Hawk
382,California Towhee
384,Gray Catbird
385,Purple Finch
386,Curve-billed Thrasher
387,Roadside Hawk
388,Lullula arborea
389,Blue-gray Gnatcatcher
390,cliff chirping frog
393,Great Spotted Woodpecker
394,Pied-billed Grebe
395,Black Tern
397,Wilson's warbler
399,Dryobates villosus
401,Western Cane Toad
402,California Scrub-Jay
406,Acorn Woodpecker
407,Vertebrates
408,Lesser Goldfinch
409,Mississippi Kite
411,Hutton's Vireo
412,California Quail
413,Austernfischer
414,Mexican White-lipped Frog
415,Platypleura octoguttata
416,Insects
417,CCSP
419,Pine Siskin
421,Olive-sided Flycatcher
422,FICR
423,MOWA
424,WIFL
425,Southwestern Speckled Rattlesnake
426,Canyon Wren
427,Willow Flycatcher
428,Gila Woodpecker
429,White-winged Dove
431,Gambel's Quail
432,Lesser Nighthawk
433,Verdin
435,Abert's Towhee
436,Black-tailed Gnatcatcher
437,Yuma Rail
438,Hooded Oriole
439,Green Tree Frog
440,CAWA
441,Marbled Toad
442,Cliff Chirping Frog
445,Black-chinned Hummingbird
446,Little mesquite cicada
449,Couch's Spadefoot
450,Tettigettalna argentata
451,Cassin's Vireo
452,Brown Creeper
453,Pileated Woodpecker
454,Black-headed Grosbeak
456,Rã-Verde
457,Tui
458,Marsh Warbler
459,Acadian Flycatcher
461,Mirlo Café
462,Sonoran Gopher Snake
464,Ten-lined June Beetle
465,Yellow-throated Vireo
466,Black-necked Stilt
467,northern cardinal
468,WEME
469,Spotted Hyena
472,Tropical House Cricket
473,Snowy Tree Cricket
474,micrastur semitorquatus
475,Henslow's Sparrow
476,Citrus Cicada
477,Noctule
478,Common Tern
479,Cicada barbara lusitanica
480,canyon wren
482,Mangrove Cuckoo
483,Tropical Kingbird
485,Kentucky Warbler
486,Canyon Tree Frog
487,Trachycephalus vermiculatus
490,Van Duzee's Cicada
492,Woodrats
493,Colinus virginianus
494,South Island Oystercatcher
495,Saltator grandis
496,Northern Saw-whet Owl
497,Ferruginous Pygmy-Owl
499,Morelet's Seedeater
500,Hyalinobatrachium viridissimum
501,Great Basin Spadefoot
503,Dendropsophus robertmertensi
504,Two-spaded Narrow-mouthed Toad
506,Gaivota-de-patas-amarelas
507,Straw-colored fruit bat
516,Hermit Thrush
519,Western Gray Squirrel
523,Wood Thrush
524,Eastern Kingbird
525,Black-capped Chickadee
526,Arctic Tern
527,Scissors Grinder Cicada
528,Grant's Hercules Beetle
529,Brahminy Kite
531,Ruby-throated Hummingbird
532,Grand Western Flood Plain Cicada
533,Carouge à épaulettes
534,Greater Roadrunner
535,Barn Swallow
539,Australasian Gannet
540,Fox Sparrow
542,Rufous-capped Warbler
543,Long-billed Dowitcher
544,Gastrotheca nebulanastes
545,Amphipsalta
546,Zanate mexicano
547,Rough-skinned Green Treefrog
548,Centrolene sabini
549,Tordo cabeza amarilla
550,Cape Verde Sparrow
551,Black-headed Saltator
552,Green Grocer
553,Sciurus griseus
554,Mexican Black-tailed Rattlesnake
555,Red Crossbill
556,Douglas Squirrel
557,Indian Peafowl
559,Silver Princess
560,Rufous-naped Lark
561,Canada Jay
563,Aplastodiscus perviridis
564,Chukar
565,Loro frente blanca
566,Kikihia
567,Verreaux's Eagle-Owl
569,Greater Pewee
570,South Island Fantail
571,Floury Baker (Aleeta curvicosta)
572,Southern Bark Squeaker
574,Psaltoda harrisii
575,Sheep Frog
578,Western Narrow-mouthed Toad
579,Pseudacris clarkii
582,Tundra Swan
583,Black-throated Magpie-Jay
584,Razor Grinder
585,Floury Baker
587,House Sparrow
588,Golden-crowned Sparrow
591,White Drummer
592,Black Prince
594,Rusty Treefrog
596,White-rumped Shama
597,Peregrine Falcon
599,Variable Toad
600,Western Spadefoot
601,Couch's Kingbird
602,Black-bellied Whistling-Duck
603,Madagascar Bullfrog
604,Spinomantis peraccae
605,Garden Snail
606,Échasse blanche
609,Plain Chachalaca
610,Red Crossbill (RECR)
611,White-winged Crossbill (WWCR)
612,Marsh Frog
613,Cicadas
614,Belted Kingfisher
615,Western Bird-voiced Treefrog
616,Chipe suelero
617,Tángara ala amarilla
620,Spotted Wattle Cicada
621,Eichwald's Toad
622,Tángara roja
623,Chivirín saltapared
625,Lepidogryllus
626,Tordo cantor
628,Straw-colored Fruit Bat
629,Bewick's Wren
630,Rana agile
632,Broad-billed Roller
633,Clapping Cicada
635,Rospo comune
636,American Woodcock
637,Australian Magpie
639,Common Grackle
641,Mountain Quail
646,Black-billed Magpie
649,Coa Violácea Norteña
652,Lepidogryllus parvulus
655,Cuitlacoche pico curvo
656,Downy Woodpecker
658,Rock Wren
659,Northern Leopard Frog
662,Tricolored Blackbird
666,Variable Field Cricket
667,Long-chirp Field Cricket
671,Vocal Field Cricket
676,Canyon Bat
680,pallid bat
681,hoary bat
682,Silver-haired Bat
688,Lesser Antillean Whistling Frog
689,Common Coqui
691,Caribbean White-lipped Frog
692,Green Frog
693,Rana verde
694,Australian Green Tree Frog
695,Eastern Dwarf Tree Frog
696,White-lipped Tree Frog
697,Javelin Frog
698,Rocket Frog
700,Australian Rocket Frog
701,Common Mistfrog
702,Desert Tree Frog
703,Strawberry Poison-dart Frog
706,Cane Toad
707,Olive Snouted Tree Frog
709,Smilisca Tree Frogs
710,Masked Tree Frog
716,Merlin
718,Clay-colored Sparrow
719,Black-throated Gray Warbler
724,Crickets
729,MacGillivray's Warbler
730,Yellow-bellied Sapsucker
736,Zacatonero rojizo
737,Fidicinoides
747,Killdeer
748,Brown-headed Cowbird
749,California Thrasher
750,House Wren
752,Great Plains Narrow-mouthed Toad
754,Louisiana Waterthrush
758,Eastern Towhee
759,Broad-winged Hawk
762,Barn Owl
763,Nashville Warbler
765,Short-billed Dowitcher
766,Field Sparrow
769,Italian Tree Frog
770,Sapito pinto de Mazatlán
772,European Greenfinch
773,Mountain Chickadee
774,Common Nightingale
776,Northern Rough-winged Swallow
777,BHGR
779,Osprey
780,Western Wood-Pewee
783,Mirlo pardo
788,European Serin
789,Yellow Warbler
791,Serin cini
793,Village Weaver
794,Song Sparrow
795,Western Kingbird
797,Tricolored Bat
798,Eastern Red Bat
802,American Tree Sparrow
804,Solitary Sandpiper
805,Little Brown Bat
813,Grasshopper Sparrow
814,Typical Squirrels
815,Lazuli Bunting
819,Western Bluebird
823,Common Redstart
836,Sardinian Warbler
842,Le Conte's Thrasher
843,Western Screech-Owl
845,Cassin's Kingbird
846,Sapos centroamericanos
847,Common Yellowthroat
849,Decula Periodical Cicada
850,Dwarf Periodical Cicada
855,Great Egret
856,California Gull
857,Double-crested Cormorant
858,Warbling Vireo
860,Squirrel Tree Frog
861,Hawaiian Gallinule
863,European Goldfinch
864,Veery
866,Eastern American Red Fox
871,Neocicada australamexicana
873,Pharaoh Cicada
875,California Gnatcatcher
877,Caribbean Elaenia
879,Harris's Hawk
880,Black-crowned Night-Heron
881,Blue-headed Vireo
888,Complesso Rana di Lessona e relativi klepton
889,European Bee-Eater
896,Tettigettalna mariae
898,Mountain cicada
899,Stitchbird
900,American Bittern
905,Mexican Spadefoot
913,Little Wattlebird
914,European Starling
915,Silver Gull
917,Yellow Wattlebird
918,Rana ridibonda
920,Purple Martin
922,Forster's Tern
925,Merriam's Chipmunk
926,Bugio-de-mãos-vermelhas-de-spix
930,Gray-crowned Yellowthroat
931,Sylvia
933,California Ground Squirrel
934,Saraguato de manto
935,campanero tricarunculado
936,Diceroprocta marevagans
937,Black Skimmer
938,Dusky Moorhen
940,Trogón citrino
941,Eurasian Collared Dove
942,Laughing Kookaburra
944,Gladiator Meadow Katydid
948,Little Corella
949,Bolbelasmus keithi
950,Tirano Cuír
951,Mourning Dove
961,Arizona Gray Squirrel
963,Steiroxys
964,Capnobotes occidentalis
965,Idiostatus apollo
966,Bush Cicada
967,Pipistrelle pygmée
970,Eufonia garganta negra
971,Oecanthus californicus
972,American Three-toed Woodpecker
974,New Zealand Tūī
975,Swainson's Hawk
979,Striated Grassbird
983,Luis Bienteveo
984,Plaintive Cuckoo
985,Bosuil
987,Rufous-banded Owl
988,Indonesian Honeyeater
989,Diceroprocta apache
990,Cirl Bunting
991,Lark Sparrow
992,Hamerkop
993,Central American Gulf Coast Toad
994,Desert Clicker Grasshopper
995,Anurogryllus arboreus
1003,Cryptotympana acuta
1004,Greater Yellowlegs
1009,Australian Raven
1011,Dunlin
1013,Nuttall's Woodpecker
1014,Splendid Glossy-starling
1019,Senegal parrot
1020,Brown-throated Wattle-eye
1021,Carolina Ground Cricket
1027,Western European Blackbird
1029,Зелёная жаба
1031,Notopsalta sericea
1032,Eastern Phoebe
1033,Iberian Chiffchaff
1042,Woodlark
1045,Pine Grosbeak
1046,Urraca hermosa cara negra
1047,Pearly-eyed Thrasher
1049,Limnonectes
1052,Bats
1053,Bats (Microchiroptera)
1057,Scaly-breasted Wren
1060,Fieldfare
1062,Dryobates scalaris
1066,Sardinian Tree Frog
1067,Paloma Alas Blancas
1068,Cactus Wren
1069,Carpintero Cheje
1075,Grünfink
1076,Clark's Nutcracker
1082,Silvereye (ssp. lateralis)
1083,Cacique mexicano
1084,Typical Cicadas
1085,Honey Bee
1088,Black Geese × Grey Geese
1089,Western Weka
1094,Mosquero de Hammond
1095,Northern Pacific Treefrog
1098,Broad-tipped Conehead
1108,Aguililla cola blanca
1110,Natterjack Toad
1116,Sonoma Chipmunk
1118,Mountain Pygmy-Owl
1123,Pine Flycatcher
1124,Tecolote bajeño
1128,Great Tit
1130,Whitehead
1131,Agile Frog
1132,Étourneau sansonnet
1133,
1134,Trepatroncos bigotudo
1135,Great Kiskadee
1137,Common Crane
1139,Western Chorus Frog
1140,Gorrión cola blanca
1141,Lesser Antillean whistling frog
1142,Yellowhammer
1144,Picchio muratore
1145,Eurasian Blackbird
1150,Red-billed Pigeon
1151,Ameerega hahneli
1155,Abyssinian Roller
1156,Lesser Blue-eared Glossy-starling (nominate)
1160,털귀뚜라미
1163,Tordo sargento
1166,Scinax tymbamirim
1167,Dendropsophus berthalutzae
1168,Black-chinned Sparrow
1170,Physalaemus spiniger
1171,Lages Glass Frog
1172,White-breasted Nuthatch
1175,Mainland New Zealand Bellbird
1176,Bufo-Pequeno
1177,Paradise Shelduck
1179,Chimney Swift
1180,Lilian's Meadowlark
1182,Quercus imbricaria
1183,Verdier d'Europe
1184,Horsfield's Treeshrew
1186,Dusky Flycatcher
1188,Gavilán de Cooper
1189,Mulato azul
1190,Dusky-capped Flycatcher
1193,Long-tailed Shrike
1194,Variable Sunbird
1195,American Beaver
1196,Allocco
1201,Caterpillar-hunter Beetles
1204,Black-backed Sibia
1205,Yellow-cheeked Tit
1206,Common Spadefoot
1208,Ash-throated Flycatcher
1213,Bruant zizi
1214,Boreal Chorus Frog
1217,Verdone comune
1219,Pinson des arbres
1221,European Robin
1233,Sooty Grouse
1237,Carricero Común
1241,Scaled Quail
1242,Loggerhead Shrike
1243,Black-throated Sparrow
1250,Brown-crested Flycatcher
1251,Least Bell's Vireo
1257,Rufous-crowned Sparrow
1260,Acheta domesticus
1265,ʻApapane
1266,Japanese Bush Warbler
1268,Platypedia vanduzeei
1273,Red Fox Sparrow
1280,American Redstart
1284,Aglaothorax morsei
1285,Gryllus lineaticeps
1287,Black-winged Stilt
1291,Chestnut-backed Chickadee
1293,Franklin's Gull
1294,Saltator olivascens
1295,Zanate mayor
1296,Pic épeichette
1302,Purple Bromeliad Fly
1309,Ardilla Yucateca
1313,Chivirín de Carolina
1316,Olive Sparrow
1321,Parula ceja blanca
1325,Painted Redstart
1330,Perico Monje Argentino
1336,Violet Turaco
1338,Red-cheeked Cordonbleu
1344,Orchard Oriole
1345,Chipping Sparrow
1348,Eurasian Wryneck
1351,Short-crested Flycatcher
1352,Pipilo maculatus × ocai
1353,Northern Pacific Rattlesnake
1354,Chachalaca pálida
1359,Savannah Sparrow
1364,Rose-ringed Parakeet
1369,New World and African Parrots
1371,Sclerophrys
1373,White-striped Woodcreeper
1374,Olive-backed Towhee
1375,Berylline Hummingbird
1376,Copan Stream Frog
1381,Wilson's Snipe
1382,Least Flycatcher
1383,Baltimore Oriole
1389,Bridled Titmouse
1390,Chihuahuan Meadowlark
1391,Mexican Chickadee
1392,Mexican Whip-poor-will
1394,White-fronted Parrot
1395,Ovenbird
1400,Thrush Nightingale
1401,Willow Warbler
1402,Periodical Cicadas
1403,Spurred Rainfrog
1405,Hammond's Flycatcher
1406,Aglaothorax morsei santacruzae
1407,Ruddy Duck
1412,Tennessee Warbler
1416,Urraca copetona
1419,Morepork
1420,Dwarf American Toad
1421,Giant Cicada
1423,Green Heron
1425,Bobolink
1426,Melodious Warbler
1440,Coatí
1442,Cedar Waxwing
1445,Mascarita común
1447,Okanagana triangulata
1448,Wood Warbler
1451,Candelero americano
1457,Tibicinoides utahensis
1458,Atlapetes gorra rufa
1459,Zorzal pico naranja
1469,Neduba prorocantans
1471,Oecanthus quadripunctatus
1472,Neonemobius mormonius
1474,Grey-backed Thrush
1477,Bell's Vireo
1478,Moore's Cactus Dodger
1479,Vencejo pecho blanco
1480,Great Reed-Warbler
1482,"Grasshoppers, Crickets, and Katydids"
1484,Mosquero pecho leonado
1488,Scarlet Tanager
1489,Limosa lapponica baueri
1490,Great Knot
1494,Cassin's Finch
1498,Aglaothorax ovatus
1500,Mourning Warbler
1501,Mexican Smilisca
1508,Western Mastiff Bat
1509,Russet Nightingale-Thrush
1516,Waldkauz
1517,Okanagana
1522,Hairy Woodpecker
1526,Yucatán Casqueheaded Treefrog
1530,Black-headed Bunting
1541,Giant Toad
1542,Papamoscas amarillo del Pacífico
1543,Orange-billed Nightingale-thrush
1549,Spotted Bat
1551,Townsend's Big-eared Bat
1553,Miller's Myotis
1555,Long-legged Myotis
1556,Myotis californicus
1557,Fringed Myotis
1560,Burchell's Coucal
1561,Cardenal rojo
1565,Eptesicini
1586,European Fire-Bellied Toad
1591,Nelson's Sparrow
1601,Uinta Chipmunk
1602,Northern Cricket Frog
1610,Sedge Warbler
1619,Spotted Wren
1622,Scott's Oriole
1625,Pinyon Jay
1627,Greylag Goose
1629,Sedge Wren
1630,Wapiti
1631,North Island Fernbird
1633,Eurasian Sparrowhawk
1635,Common Loon
1636,Eastern Wood-Pewee
1639,Black-headed Siskin
1640,Spotted × Collared Towhee
1641,Mosquero garganta blanca
1643,White-eared Hummingbird
1648,Thread-waisted Sand Wasps
1649,Texas Dog-day Cicada
1652,Sword-bearing Conehead
1653,American Goldfinch
1655,Common Kingfisher
1656,Eastern Golden Frog
1657,Silvery Greater Galago
1658,Eastern Hognose Snake
1660,Chivirín moteado
1662,Mascarita pico grueso
1663,Tirano tropical
1664,Zacatonero de Botteri
1665,Megatibicen pronotalis walkeri
1668,Fejervarya
1669,Animals
1670,Linne's Cicada
1672,Picurero cabeza negra
1674,Yellow-bellied Flycatcher
1675,Eurasian Red Squirrel
1677,Red-billed Gull
1681,Gum emperor moth
1682,Gruccione
1683,Yellow-green Vireo
1685,Southern Black-backed Gull
1686,Red-crowned Parakeet
1688,European Golden Plover
1692,Northern Black-tailed Rattlesnake
1694,Broad-tailed Hummingbird
1697,Common Tree Crickets
1705,Grey Gerygone
1708,African Hoopoe
1714,Mainland Tui
1723,Griechische Landschildkröte
1733,Silvereye
1736,Greater Anglewing
1747,"Finches, Euphonias, and Allies"
1754,Birds
1756,Empid Flycatchers
1759,Common Ringed Plover
1761,Western Banjo Frog
1762,Ticking Frog
1765,North Island Saddleback
1779,Variable Oystercatcher
1781,Golden Bronze-Cuckoo
1789,Monk Parakeet
1790,Varied Thrush
1791,Sooty Longwing
1792,Southern Bell Frog
1793,Tūī
1796,Pibí oriental
1797,Chihuahuan Raven
1798,False Western Froglet
1801,Montezuma Oropendola
1802,맹꽁이
1803,Eastern Rosella
1806,Riesenbuschbaby
1807,Wood Duck
1808,Long-spurred Meadow Katydid
1809,Hapithus saltator
1812,Common Poorwill
1814,Rodents
1816,Plains Cicada
1817,Karearea
1818,Polluela Cejiblanca
1819,Beameria wheeleri
1822,Conocephalus fasciatus
1823,Rana leopardo de Moctezuma
1824,Striped Ground Cricket
1828,Berta maggiore
1829,Camp's Frog
1830,Podoscirtinae
1832,Plaintive Rain Frog
1836,Southern Bokmakierie
1837,Blue Manakin
1838,Raganella orientale
1840,African Common Toad
1842,Blue Grosbeak
1843,Mountain Tailorbird
1846,Vespertilionoid Bats
1849,Canada Warbler
1851,Liara tamdaoensis
1852,Psilogramma discistriga
1853,Langflüglige Schwertschrecke
1855,Karoo Prinia
1856,Southern Narina Trogon
1859,Ridgway's Rail
1861,Microhyla
1863,Zipping Ambertail
1864,Swinhoe’s White-eye
1865,Matraca del Balsas
1866,grand pic
1868,Black-capped Gnatcatcher
1869,Tirano gritón
1870,Eastern Chipmunk
1871,American Red Squirrel
1876,Rice Frogs
1877,Panafrican Pied Wagtail
1878,Southern Banded Mongoose
1879,Tamaulipas Crow
1883,Psarocolius angustifrons sincipitalis
1886,Whooping Crane
1887,Small-eared Greater Galago
1889,Southern Tree Hyrax
1893,Green Parakeet
1894,Cape Robin-Chat
1895,Ornate Chorus Frog
1896,Chipe corona café
1898,Rattling Cisticola
1901,Buff-bellied Hummingbird
1907,bec-croisé des sapins
1912,Green Jay
1913,White-bellied Go-away-bird
1914,Pteropodidae
1915,Rascador Cola Verde
1916,Collared Palm-Thrush
1917,Olive-bellied Sunbird
1918,Dwarf Squeaker
1919,Chattering Cisticola
1920,Golden-headed Manakin
1921,Pipipi
1924,Cape Rockjumper
1925,Southern Olive Woodpecker
1926,Familiar Chat
1928,Wingless Meadow Katydid
1929,Cycloptilum bidens
1930,Accipiter melanoleucus melanoleucus
1932,North American River Otter
1933,Double Drummer
1936,Victorin's Warbler
1938,Red-throated Caracara
1939,Arunta
1941,Marsh Tit
1944,Eilogo Estate Frog
1949,Pukeko
1951,North Island Brown Kiwi
1952,Redeye Cicada
1953,Yellowbelly
1956,White-throated Nightjar
1957,African Emerald Cuckoo
1958,La Paz Robber Frog
1959,Spot-legged Poison Frog
1960,Cuzco robber frog
1961,Virginia's Warbler
1963,Australasian Coot
1964,Power's Toad
1965,Camaroptera brachyura constans
1966,Smith's Bush Squirrel
1968,Melanerpes aurifrons
1969,Synoicus chinensis victoriae
1973,Bostrychia hagedash hagedash
1975,Túngara Frog
1976,Gray Fox
1981,Southeastern Yellow-shafted Flicker
1984,Storno comune
1990,Carrion Crow
1991,"Rails, Gallinules, and Coots"
1993,Spider Crickets and Allies
1994,Lerneca inalata
1995,Northern Burrowing Frog
2001,Boat-tailed Grackle
2003,Gray Flycatcher
2007,Colibrí orejas violetas
2009,Booted Eagle
2010,Common River Frog
2013,Tropical Parula
2014,Crested Caracara
2017,Thamnolaea cinnamomeiventris autochthones
2019,Wavering Firetail
2020,Black Squeaker
2022,Grey Butcherbird
2025,Golden Twanger
2027,Alarm Clock Squawker
2029,Bohemian Waxwing
2031,Geoffroy's Trident Leaf-nosed Bat
2032,Lesser Yellowlegs
2033,Echte Grillen
2035,Southern Mountain Squeaker
2037,Southern Fiscal (ssp. collaris)
2038,Interior Tree Frog
2039,Leptodactylus mystaceus
2040,Domestic Swan Goose
2041,Egyptian Goose
2042,Mallard
2043,Beach Squeaker
2050,Sand Fairy
2052,Northern Pintail
2053,Bobcat
2057,Gould's Wattled Bat
2061,Audubon's Warbler
2065,Chilecicada occidentis
2066,Chilecicada partemporaria
2067,Derotettix mendosensis
2068,Quesada gigas
2069,Xyrdectes fuscescens
2070,Transvolcanic Jay
2071,Sastrecillo
2074,Bronze Tree-buzzer
2076,Craugastor loki
2077,Incilius coccifer
2078,Salvador Stream Frog
2085,Anhinga americana
2087,Bald Eagle
2091,Nicaragua Tree Cricket
2092,Oecanthus allardi
2093,Pristimantis
2094,Andean Night Monkey
2096,Psaltoda insularis
2098,Oropéndola cabeza castaña
2099,Mottled Owl
2106,Violet Sabrewing
2108,American Kestrel
2109,Pachydactylus kladaroderma
2112,Scinax staufferi
2113,Common Mexican Tree Frog
2115,Tucán pico canoa
2116,Aguililla caminera
2117,Dunnock
